STT,Ma CK,Ma ISIN,Ma FIGI,Ten cong ty,Ngay thong bao,Hieu luc tu ngay,Ly do
12,POM,VN000000POM8,BBG000QR9N83,Công ty Cổ phần Thép POMINA,25/04/2023,25/04/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 15 ngày so với thời hạn quy định.
13,TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,25/04/2023,25/04/2023,Công ty chậm nộp báo cáo tài chính năm 2022 đã được kiểm toán quá 15 ngày so với thời hạn quy định.
14,EVG,VN000000EVG9,BBG00GTSZQV1,Công ty Cổ phần Tập đoàn Everland,24/04/2023,24/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất kiểm toán năm 2022.
15,ITA,VN000000ITA7,BBG000QBN527,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,21/04/2023,21/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.
16,PLP,VN000000PLP7,BBG00H44X8M1,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,17/04/2023,17/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.
17,PTC,VN000000PTC8,BBG000P5S9B8,Công ty Cổ phần Đầu tư iCapital,14/04/2023,14/04/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -23,59 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
18,DLG,VN000000DLG2,BBG000R1SL00,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,18/04/2022,13/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.
19,TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,13/04/2023,13/04/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là 4,93 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -688,23 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
20,LGL,VN000000LGL5,BBG000PLL5F4,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,12/04/2023,12/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.
21,SJF,VN000000SJF6,BBG00H0JKDH1,Công ty Cổ phần Đầu tư Sao Thái Dương,12/04/2023,12/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.
22,TNA,VN000000TNA7,BBG000CXD179,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam,10/04/2023,10/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.
23,AST,VN000000AST6,BBG00JM8H178,Công ty Cổ phần Dịch vụ Hàng không Taseco,07/04/2023,07/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính hợp nhất năm 2022 đã được kiểm toán của tổ chức niêm yết.
24,JVC,VN000000JVC7,BBG001QQZ3M2,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,07/04/2023,07/04/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ năm 2022 là 21,76 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -1.099,98 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
25,VNL,VN000000VNL0,BBG000NX0H67,Công ty Cổ phần Logistics Vinalink,07/04/2023,07/04/2023,Tổ chức kiểm toán có ý kiến kiểm toán ngoại trừ đối với báo cáo tài chính năm 2022 đã được kiểm toán của tổ chức niêm yết.
26,FDC,VN000000FDC3,BBG000Q54S85,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,05/04/2023,05/04/2023,"Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2022 trên BCTC kiểm toán năm 2022 là -192,95 tỷ đồng."
27,HAG,VN000000HAG6,BBG000GCXX42,Công ty Cổ phần Hoàng Anh Gia Lai,11/10/2022,05/04/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -3.341,01 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
28,OGC,VN000000OGC8,BBG000QSB710,Công ty Cổ phần Tập đoàn Đại Dương,28/06/2022,05/04/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ năm 2022 là 40,43 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -2.690,70 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
29,RDP,VN000000RDP0,BBG000PBYT51,Công ty Cổ phần Rạng Đông Holding,27/05/2021,05/04/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ là 7,96 tỷ đồng. Lợi nhuận sau thuế chưa phân phối tại ngày 30/06/2022 là -70,94 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
30,TNI,VN000000TNI0,BBG00GBHZSF8,Công ty Cổ phần Tập đoàn Thành Nam,21/02/2022,05/04/2023,"<p>Lợi nhuận sau thuế của cổ đông công ty mẹ là 2,8 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -7,58 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2022.</p>"
31,TTF,VN000000TTF3,BBG000TFT0R3,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,21/04/2022,04/04/2023,"Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2022 là -3.070,2 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
32,CIG,VN000000CIG0,BBG001VHQTV9,Công ty Cổ phần COMA18,18/04/2022,31/03/2023,"Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -294,94 tỷ đồng căn cứ BCTC Hợp nhất kiểm toán năm 2022."
33,PIT,VN000000PIT5,BBG000PMW935,Công ty Cổ phần Xuất nhập khẩu Petrolimex,24/08/2020,31/03/2023,"Lợi nhuận sau thuế công ty mẹ là 3,17 tỷ đồng, lợi nhuận sau thuế chưa phân phối tính đến ngày 31/12/2022 là -21,2 tỷ đồng căn cứ BCTC hợp nhất kiểm toán năm 2022."
